PlotID,Leaf_productivity_2017_2018,SLA_m2.g,LAI_4_campaigns,LAI_2_campaigns,Total_productivity,Leaf_productivity_24_collections,LMA_g.m2
B1P1,5.754623798,0.008434662,5.383420938,5.81,9.019126866,5.747393362,128.75
B1P2,5.87217285,0.008295537,5.256354375,5.06,8.193991482,6.017481204,162.5
B1P3,6.918051711,0.008185454,6.21607875,6.73,8.778816026,6.945078445,128.75
B1P4,5.696558739,0.007300307,5.031400313,5.3,8.183043661,5.828014347,162.5
B1P5,5.682876403,0.007217638,5.75344375,6.08,7.57128937,5.802005441,162.5
B1P6,7.618574741,0.009221408,5.87378375,6.07,10.45057483,7.838819682,128.75
B1P7,7.937293224,0.00945873,5.728221531,6.35,10.60070011,7.920067118,128.75
B1P8,5.664315988,0.008377496,5.968206484,6.54,8.017906447,5.811552821,162.5
B2P1,7.663011396,0.008697023,6.130768594,6.21,11.20518135,8.001530366,128.75
B2P2,7.506322761,0.008076361,5.265266563,5.3,10.75101758,7.657595979,128.75
B2P3,4.807884955,0.008117387,5.06259125,5.28,6.80979449,5.050017526,162.5
B2P4,5.384343612,0.008180414,5.180210938,5.32,8.77612325,5.325949295,128.75
B2P5,4.712079955,0.00845917,5.746759063,6.28,6.950601741,4.75956329,162.5
B2P6,4.971441721,0.0100883,6.737640156,7.39,7.094798195,5.041617205,162.5
B2P7,5.274244796,0.010912886,6.310946623,6.9,8.999640573,5.428082374,128.75
B2P8,4.49870063,0.008862539,5.69249176,6.08,6.865243902,4.622072548,162.5
B3P1,6.428068525,0.010715545,5.905538281,5.86,8.733646323,6.451664559,128.75
B3P2,6.271882962,0.007579146,6.256168438,6.2,9.099219706,6.38034006,162.5
B3P3,4.615311281,0.008840113,5.822085781,5.61,6.47002827,4.793927755,128.75
B3P4,6.472371744,0.009347882,5.780899844,5.77,9.329185377,6.643285144,128.75
B3P5,7.235561737,0.008384699,6.140858125,6.18,9.937532444,7.33355222,162.5
B3P6,5.635368692,0.009099986,5.903335781,5.98,8.718419002,5.733766107,162.5
B3P7,5.853860893,0.009277008,6.531995469,6.39,8.381257917,6.139281133,128.75
B3P8,6.21908844,0.008975547,5.368698929,5.31,8.255118325,6.21951531,162.5
B4P1,6.047746368,0.007816502,4.655430641,3.93,8.663251124,6.226051381,162.5
B4P2,6.800385598,0.00797696,4.470511844,3.15,9.622807019,6.824609532,162.5
B4P3,6.1882932,0.008042753,5.271249844,4.71,9.560776912,6.213119872,162.5
B4P4,7.56052578,0.008216643,5.705289844,5.42,11.13076707,7.585116095,128.75
B4P5,5.846124842,0.00798899,5.12669375,3.87,9.492072028,6.15319964,128.75
B4P6,6.033712414,0.008789323,5.466048594,5.74,8.968441479,6.089069952,162.5
B4P7,6.100871807,0.008124055,5.349908281,5.66,8.773186906,6.268041038,128.75
B4P8,6.080509087,0.007156051,5.762018594,5.95,8.433350928,6.105608986,128.75